"IntoGen_cancer_type","gene","class","event","n","class_total","prop"
"BRCA","FGFR2","Classic","WT",3,3,1
"BRCA","FLT4","WGD","M",1,1,1
"BRCA","FOXA1","WGD","M",1,20,0.05
"BRCA","FOXA1","WGD","WT",19,20,0.95
"BRCA","FOXA1","Classic","M",1,1,1
"BRCA","FOXP1","WGD","WT",20,20,1
"BRCA","FOXP1","Classic","WT",1,1,1
"BRCA","FUBP1","WGD","WT",23,23,1
"BRCA","FUBP1","Classic","WT",1,1,1
"BRCA","GATA3","WGD","M",1,13,0.0769230769230769
"BRCA","GATA3","WGD","WT",12,13,0.923076923076923
"BRCA","GATA3","HM","WT",1,1,1
"BRCA","GATA3","Classic","M",5,5,1
"BRCA","GNAS","WGD","WT",16,16,1
"BRCA","GNAS","HM","WT",1,1,1
"BRCA","GNAS","Classic","M",1,7,0.142857142857143
"BRCA","GNAS","Classic","WT",6,7,0.857142857142857
"BRCA","GPS2","Classic","M",1,1,1
"BRCA","HOXC13","WGD","WT",20,20,1
"BRCA","HOXC13","Classic","WT",3,3,1
"BRCA","HRAS","WGD","WT",17,17,1
"BRCA","HSP90AA1","WGD","WT",17,17,1
"BRCA","HSP90AA1","HM","WT",1,1,1
"BRCA","HSP90AA1","Classic","WT",1,1,1
"BRCA","JAK1","WGD","WT",24,24,1
"BRCA","JAK1","HM","WT",1,1,1
"BRCA","JAK1","Classic","WT",1,1,1
"BRCA","JAK2","WGD","WT",13,13,1
"BRCA","JAK2","HM","WT",1,1,1
"BRCA","JAK2","Classic","WT",1,1,1
"BRCA","KAT6B","WGD","WT",14,14,1
"BRCA","KAT6B","Classic","WT",2,2,1
"BRCA","KDR","WGD","WT",21,21,1
"BRCA","KDR","HM","WT",1,1,1
"BRCA","KDR","Classic","WT",2,2,1
"BRCA","KIF11","WGD","CI_M",2,2,1
"BRCA","KIF18A","HM","CI_M",1,1,1
"BRCA","KIF2A","WGD","CI_M",6,6,1
"BRCA","KLF4","WGD","WT",19,19,1
"BRCA","KLF4","HM","WT",2,2,1
"BRCA","KLF4","Classic","WT",2,2,1
"BRCA","KMT2C","WGD","M",1,17,0.0588235294117647
"BRCA","KMT2C","WGD","WT",16,17,0.941176470588235
"BRCA","KMT2C","Classic","M",1,6,0.166666666666667
"BRCA","KMT2C","Classic","WT",5,6,0.833333333333333
"BRCA","KMT2D","WGD","M",1,20,0.05
"BRCA","KMT2D","WGD","WT",19,20,0.95
"BRCA","KMT2D","Classic","WT",4,4,1
"BRCA","KRAS","WGD","WT",14,14,1
"BRCA","KRAS","Classic","WT",3,3,1
"BRCA","LATS1","WGD","WT",10,10,1
"BRCA","LATS1","Classic","WT",1,1,1
"BRCA","LRP1B","WGD","WT",18,18,1
"BRCA","MAP2K4","WGD","CNA_driver",2,21,0.0952380952380952
"BRCA","MAP2K4","WGD","M",2,21,0.0952380952380952
"BRCA","MAP2K4","WGD","WT",17,21,0.80952380952381
"BRCA","MAP2K4","Classic","CNA_driver",2,2,1
"BRCA","MAP3K1","WGD","M",3,21,0.142857142857143
"BRCA","MAP3K1","WGD","WT",18,21,0.857142857142857
"BRCA","MAP3K1","Classic","CNA_driver",2,5,0.4
"BRCA","MAP3K1","Classic","M",3,5,0.6
"BRCA","MAX","WGD","WT",20,20,1
"BRCA","MECOM","WGD","CNA_driver",1,16,0.0625
"BRCA","MECOM","WGD","WT",15,16,0.9375
"BRCA","MECOM","HM","CNA_driver",1,2,0.5
"BRCA","MECOM","HM","WT",1,2,0.5
"BRCA","MECOM","Classic","WT",5,5,1
"BRCA","MED23","WGD","WT",10,10,1
"BRCA","MED23","HM","WT",1,1,1
"BRCA","MED23","Classic","WT",1,1,1
"BRCA","MEN1","WGD","WT",15,15,1
"BRCA","MTOR","WGD","WT",19,19,1
"BRCA","MTOR","Classic","WT",1,1,1
"BRCA","MXD1","WGD","CI_M",2,2,1
"BRCA","MYC","WGD","CNA_driver",6,6,1
"BRCA","MYC","HM","CNA_driver",2,2,1
"BRCA","MYC","Classic","CNA_driver",1,1,1
"BRCA","MYH11","WGD","WT",18,18,1
"BRCA","MYH11","HM","WT",1,1,1
"BRCA","MYH11","Classic","WT",9,9,1
"BRCA","MYH9","WGD","WT",16,16,1
"BRCA","MYH9","HM","WT",1,1,1
"BRCA","MYO5A","WGD","WT",23,23,1
"BRCA","MYO5A","Classic","WT",1,1,1
"BRCA","NBEA","WGD","WT",16,16,1
"BRCA","NBEA","Classic","WT",2,2,1
"BRCA","NCOR1","WGD","CNA_driver",1,16,0.0625
"BRCA","NCOR1","WGD","M",1,16,0.0625
"BRCA","NCOR1","WGD","WT",14,16,0.875
"BRCA","NCOR1","Classic","CNA_driver",3,3,1
"BRCA","NCOR2","WGD","WT",15,15,1
"BRCA","NCOR2","HM","WT",1,1,1
"BRCA","NCOR2","Classic","WT",3,3,1
"BRCA","NF1","WGD","CNA_driver",1,13,0.0769230769230769
"BRCA","NF1","WGD","M",1,13,0.0769230769230769
"BRCA","NF1","WGD","WT",11,13,0.846153846153846
"BRCA","NF1","Classic","M",1,3,0.333333333333333
"BRCA","NF1","Classic","WT",2,3,0.666666666666667
"BRCA","NOTCH1","WGD","WT",14,14,1
"BRCA","NOTCH1","Classic","M",1,3,0.333333333333333
"BRCA","NOTCH1","Classic","WT",2,3,0.666666666666667
"BRCA","NOTCH2","WGD","M",2,18,0.111111111111111
"BRCA","NOTCH2","WGD","WT",16,18,0.888888888888889
"BRCA","NOTCH2","Classic","M",2,4,0.5
"BRCA","NOTCH2","Classic","WT",2,4,0.5
"BRCA","NTRK1","WGD","WT",9,9,1
"BRCA","NTRK1","HM","WT",3,3,1
"BRCA","NTRK1","Classic","WT",12,12,1
"BRCA","NUMA1","WGD","WT",13,13,1
"BRCA","NUMA1","HM","WT",1,1,1
"BRCA","NUP93","Classic","M",1,1,1
"BRCA","PIK3CA","WGD","CNA_driver",1,18,0.0555555555555556
"BRCA","PIK3CA","WGD","M",6,18,0.333333333333333
"BRCA","PIK3CA","WGD","WT",11,18,0.611111111111111
"BRCA","PIK3CA","HM","CNA_driver",1,4,0.25
"BRCA","PIK3CA","HM","WT",3,4,0.75
"BRCA","PIK3CA","Classic","M",10,12,0.833333333333333
"BRCA","PIK3CA","Classic","WT",2,12,0.166666666666667
"BRCA","PIK3R1","WGD","WT",25,25,1
"BRCA","PIK3R1","HM","M",1,1,1
"BRCA","PLAG1","WGD","WT",9,9,1
"BRCA","PLAG1","HM","WT",1,1,1
"BRCA","PLAG1","Classic","WT",7,7,1
"BRCA","PLK1","WGD","CI_M",2,2,1
"BRCA","PLK1","Classic","CI_M",3,3,1
"BRCA","PLK4","WGD","CI_M",1,1,1
"BRCA","POLD1","WGD","WT",18,18,1
"BRCA","POLD1","Classic","WT",1,1,1
"BRCA","PPM1D","WGD","WT",5,5,1
"BRCA","PPM1D","HM","WT",3,3,1
"BRCA","PPM1D","Classic","WT",7,7,1
"BRCA","PREX2","WGD","WT",7,7,1
"BRCA","PREX2","Classic","WT",7,7,1
"BRCA","PTEN","WGD","CNA_driver",1,16,0.0625
"BRCA","PTEN","WGD","WT",15,16,0.9375
"BRCA","PTEN","Classic","M",2,3,0.666666666666667
"BRCA","PTEN","Classic","WT",1,3,0.333333333333333
"BRCA","PTPRD","WGD","WT",13,13,1
"BRCA","PTPRD","HM","WT",1,1,1
"BRCA","PTPRD","Classic","WT",1,1,1
"BRCA","RB1","WGD","CNA_driver",2,19,0.105263157894737
"BRCA","RB1","WGD","M",2,19,0.105263157894737
"BRCA","RB1","WGD","WT",15,19,0.789473684210526
"BRCA","RB1","HM","CNA_driver",1,2,0.5
"BRCA","RB1","HM","WT",1,2,0.5
"BRCA","RB1","Classic","CNA_driver",2,5,0.4
"BRCA","RB1","Classic","M",1,5,0.2
"BRCA","RB1","Classic","WT",2,5,0.4
"BRCA","RGS7","WGD","WT",3,3,1
"BRCA","RGS7","HM","WT",1,1,1
"BRCA","RGS7","Classic","WT",14,14,1
"BRCA","RHPN2","WGD","WT",17,17,1
"BRCA","RHPN2","Classic","WT",2,2,1
"BRCA","RUNX1","WGD","WT",13,13,1
"BRCA","RUNX1","Classic","WT",2,2,1
"BRCA","SETDB1","WGD","WT",9,9,1
"BRCA","SETDB1","HM","WT",1,1,1
"BRCA","SETDB1","Classic","WT",11,11,1
"BRCA","SF3B1","WGD","WT",19,19,1
"BRCA","SF3B1","HM","WT",1,1,1
"BRCA","SF3B1","Classic","M",1,1,1
"BRCA","SMAD4","WGD","WT",17,17,1
"BRCA","SMAD4","HM","WT",2,2,1
"BRCA","SMAD4","Classic","WT",2,2,1
"BRCA","SMARCA4","WGD","M",1,1,1
"BRCA","SMARCD1","WGD","WT",20,20,1
"BRCA","SMARCD1","Classic","WT",3,3,1
"BRCA","SOX9","Classic","CNA_driver",1,1,1
"BRCA","SPEN","WGD","WT",21,21,1
"BRCA","SPEN","Classic","WT",1,1,1
"BRCA","STAG1","WGD","CI_M",12,12,1
"BRCA","STAG1","Classic","CI_M",1,1,1
"BRCA","TBL1XR1","WGD","WT",12,12,1
"BRCA","TBL1XR1","HM","WT",2,2,1
"BRCA","TBL1XR1","Classic","WT",4,4,1
"BRCA","TBX3","WGD","WT",15,15,1
"BRCA","TBX3","Classic","M",1,4,0.25
"BRCA","TBX3","Classic","WT",3,4,0.75
"BRCA","TP53","WGD","CNA_driver",1,24,0.0416666666666667
"BRCA","TP53","WGD","M",15,24,0.625
"BRCA","TP53","WGD","WT",8,24,0.333333333333333
"BRCA","TP53","HM","M",6,6,1
"BRCA","TP53","Classic","M",6,6,1
"BRCA","TRAF3","Classic","CNA_driver",1,1,1
"BRCA","TRRAP","Classic","M",1,1,1
"BRCA","TSC1","WGD","WT",14,14,1
"BRCA","TSC1","Classic","WT",2,2,1
"BRCA","TUBGCP2","WGD","CI_M",1,1,1
"BRCA","UBR5","WGD","WT",5,5,1
"BRCA","UBR5","Classic","WT",13,13,1
"BRCA","USP44","WGD","CI_M",1,1,1
"BRCA","USP6","WGD","WT",16,16,1
"BRCA","WAPAL","WGD","CI_M",1,1,1
"BRCA","ZFHX3","WGD","WT",18,18,1
"BRCA","ZFHX3","HM","WT",1,1,1
"BRCA","ZFP36L1","HM","CNA_driver",1,1,1
"BRCA","enhancers::chr6:152022800-152024800::NA::NA","Classic","M",1,1,1
"BRCA","lncrna.ncrna::gencode::RMRP::ENSG00000269900.2","Classic","M",1,1,1
"BRCA","lncrna.promCore::gencode::RMRP::ENSG00000269900.2","Classic","M",1,1,1
"CCRCC","AKAP9","WGD","WT",4,4,1
"CCRCC","AKAP9","HM","WT",3,3,1
"CCRCC","AKAP9","Classic","WT",8,8,1
"CCRCC","ARHGAP35","WGD","WT",5,5,1
"CCRCC","ARHGAP35","HM","WT",3,3,1
"CCRCC","ARHGAP35","Classic","M",4,4,1
"CCRCC","ARHGEF10L","WGD","WT",5,5,1
"CCRCC","ARHGEF12","WGD","WT",4,4,1
"CCRCC","ARHGEF12","HM","WT",2,2,1
"CCRCC","ARID1A","WGD","WT",5,5,1
"CCRCC","ARID1A","Classic","CNA_driver",1,1,1
"CCRCC","ARID1B","WGD","WT",5,5,1
